route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Termonde,,700,,,
10,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Schellebelle,,700,,,
100,NMBS/SNCB,BUS,Flemalle-Haute -- Huy,,700,,,
101,NMBS/SNCB,BUS,Rhisnes -- Namur,,700,,,
102,NMBS/SNCB,BUS,Wavre -- Sint-Joris-Weert,,700,,,
103,NMBS/SNCB,BUS,Verviers-Central -- Spa-Geronstere,,700,,,
104,NMBS/SNCB,BUS,Houyet -- Beauraing,,700,,,
105,NMBS/SNCB,BUS,Herstal -- Liers,,700,,,
106,NMBS/SNCB,BUS,Wavre -- Louvain,,700,,,
107,NMBS/SNCB,L,Ottignies -- Bruxelles-Midi,,100,,,
108,NMBS/SNCB,BUS,Namur -- Jemeppe-Sur-Sambre,,700,,,
109,NMBS/SNCB,BUS,Namur -- Tamines,,700,,,
11,NMBS/SNCB,BUS,Hal -- Ath,,700,,,
110,NMBS/SNCB,BUS,Ottignies -- Sint-Joris-Weert,,700,,,
111,NMBS/SNCB,BUS,Luxembourg (l) -- Arlon,,700,,,
112,NMBS/SNCB,BUS,Maastricht (nl) -- Liege-Guillemins,,700,,,
113,NMBS/SNCB,BUS,Libramont -- Arlon,,700,,,
114,NMBS/SNCB,BUS,Marloie -- Ciney,,700,,,
115,NMBS/SNCB,BUS,Liege-Guillemins -- Rivage,,700,,,
116,NMBS/SNCB,BUS,Ottignies -- Louvain-La-Neuve,,700,,,
117,NMBS/SNCB,BUS,Namur -- Charleroi-Central,,700,,,
118,NMBS/SNCB,BUS,Ciney -- Arlon,,700,,,
119,NMBS/SNCB,BUS,Rochefort-Jemelle -- Ciney,,700,,,
12,NMBS/SNCB,BUS,Bruges -- Gand-Saint-Pierre,,700,,,
120,NMBS/SNCB,BUS,Liege-Guillemins -- Ans,,700,,,
121,NMBS/SNCB,BUS,Dinant -- Beauraing,,700,,,
122,NMBS/SNCB,BUS,Mons -- Quevy,,700,,,
123,NMBS/SNCB,BUS,Mons -- Braine-Le-Comte,,700,,,
124,NMBS/SNCB,BUS,Saint-Ghislain -- Tournai,,700,,,
125,NMBS/SNCB,BUS,Mons -- Saint-Ghislain,,700,,,
126,NMBS/SNCB,BUS,Jurbise -- Ath,,700,,,
127,NMBS/SNCB,BUS,Tournai -- Ath,,700,,,
128,NMBS/SNCB,BUS,Walcourt -- Couvin,,700,,,
129,NMBS/SNCB,BUS,Charleroi-Central -- Fleurus,,700,,,
13,NMBS/SNCB,BUS,Audenarde -- Renaix,,700,,,
130,NMBS/SNCB,BUS,Ath -- Grammont,,700,,,
131,NMBS/SNCB,BUS,Enghien -- Ath,,700,,,
132,NMBS/SNCB,BUS,La Louviere- Centre -- La Louviere-Sud,,700,,,
133,NMBS/SNCB,BUS,Luttre -- Manage,,700,,,
134,NMBS/SNCB,BUS,Charleroi-Central -- Couvin,,700,,,
135,NMBS/SNCB,BUS,Charleroi-Central -- Manage,,700,,,
136,NMBS/SNCB,BUS,Mons -- La Louviere-Sud,,700,,,
137,NMBS/SNCB,BUS,Mons -- Soignies,,700,,,
138,NMBS/SNCB,BUS,Tournai -- Mouscron,,700,,,
139,NMBS/SNCB,BUS,Ottignies -- Charleroi-Central,,700,,,
14,NMBS/SNCB,BUS,Deinze -- Lichtervelde,,700,,,
140,NMBS/SNCB,BUS,Bruxelles-Midi -- Nivelles,,700,,,
141,NMBS/SNCB,BUS,Charleroi-Central -- Tamines,,700,,,
142,NMBS/SNCB,BUS,Mons -- Jurbise,,700,,,
143,NMBS/SNCB,BUS,Maubeuge (f) -- Charleroi-Central,,700,,,
144,NMBS/SNCB,BUS,Bruxelles-Midi -- Charleroi-Central,,700,,,
145,NMBS/SNCB,BUS,Ath -- Cambron-Casteau,,700,,,
146,NMBS/SNCB,BUS,Nivelles -- Luttre,,700,,,
147,NMBS/SNCB,BUS,Nivelles -- Charleroi-Central,,700,,,
148,NMBS/SNCB,BUS,Mariembourg -- Couvin,,700,,,
149,NMBS/SNCB,BUS,Hasselt -- Genk,,700,,,
15,NMBS/SNCB,BUS,Zottegem -- Grammont,,700,,,
150,NMBS/SNCB,BUS,Anvers-Central -- Herentals,,700,,,
151,NMBS/SNCB,BUS,Lierre -- Herentals,,700,,,
152,NMBS/SNCB,BUS,Malines -- Louvain,,700,,,
153,NMBS/SNCB,IC,Libramont -- Arlon,,103,,,
154,NMBS/SNCB,BUS,Lierre -- Hamont,,700,,,
155,NMBS/SNCB,IC,Charleroi-Central -- Braine-Le-Comte,,103,,,
156,NMBS/SNCB,BUS,Tournai -- Courtrai,,700,,,
157,NMBS/SNCB,BUS,Ettelbruck (l) -- Gouvy,,700,,,
158,NMBS/SNCB,BUS,Lille Flandres(f) -- Mouscron,,700,,,
159,NMBS/SNCB,P,Louvain -- Gand-Saint-Pierre,,103,,,
16,NMBS/SNCB,BUS,Courtrai -- Poperinge,,700,,,
160,NMBS/SNCB,IC,Bruges -- Ostende,,103,,,
161,NMBS/SNCB,IC,Termonde -- Lokeren,,103,,,
162,NMBS/SNCB,L,Audenarde -- Renaix,,100,,,
163,NMBS/SNCB,IC,Zottegem -- Courtrai,,103,,,
164,NMBS/SNCB,IC,Bruges -- Knokke,,103,,,
165,NMBS/SNCB,IC,Ostende -- Zottegem,,103,,,
166,NMBS/SNCB,IC,Deinze -- Poperinge,,103,,,
167,NMBS/SNCB,IC,Ostende -- Courtrai,,103,,,
168,NMBS/SNCB,IC,Deinze -- Courtrai,,103,,,
169,NMBS/SNCB,L,Gand-Dampoort -- Eeklo,,100,,,
17,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Grammont,,700,,,
170,NMBS/SNCB,L,Gand-Saint-Pierre -- Courtrai,,100,,,
171,NMBS/SNCB,IC,Deinze -- La Panne,,103,,,
172,NMBS/SNCB,IC,Gand-Saint-Pierre -- Alost,,103,,,
173,NMBS/SNCB,IC,Deinze -- Lichtervelde,,103,,,
174,NMBS/SNCB,IC,Gand-Saint-Pierre -- Poperinge,,103,,,
175,NMBS/SNCB,IC,Gand-Saint-Pierre -- Courtrai,,103,,,
176,NMBS/SNCB,IC,Bruges -- Audenarde,,103,,,
177,NMBS/SNCB,IC,Anvers-Central -- Courtrai,,103,,,
178,NMBS/SNCB,IC,Anvers-Central -- Lokeren,,103,,,
179,NMBS/SNCB,L,Anvers-Central -- Lierre,,100,,,
18,NMBS/SNCB,BUS,Malines -- Schellebelle,,700,,,
180,NMBS/SNCB,L,Anvers-Noorderdokken -- Puurs,,100,,,
181,NMBS/SNCB,IC,Anvers-Central -- Aarschot,,103,,,
182,NMBS/SNCB,L,Hasselt -- Zolder,,100,,,
183,NMBS/SNCB,IC,Malines -- Louvain,,103,,,
184,NMBS/SNCB,IC,Saint-Trond -- Louvain,,103,,,
185,NMBS/SNCB,IC,Mol -- Hamont,,103,,,
186,NMBS/SNCB,L,Bruxelles-Nord -- Louvain,,100,,,
187,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
188,NMBS/SNCB,IC,Anvers-Central -- Mol,,103,,,
189,NMBS/SNCB,L,Essen -- Heide,,100,,,
19,NMBS/SNCB,BUS,Termonde -- Schellebelle,,700,,,
